the_geom,OBJECTID,PLACENAME,PLACETYPE,ADDRESS,CITY,ZIP,SOURCE,UNIQUEID,SYMBOLOGYQUERY,LATITUDE,LONGITUDE,LASTUPDATE,EDITOR,NOTES,EditingNotes,ID_NCES,CD_CODE,CDS_CODE,DISTRICT_NAME,DISTRICT_TYPE,DISTRICT_NAME_SHORT,GEOID10
POINT (-122.093816411698 37.395106600976),299,Mariano Castro Elementary,Public School,505 Escuela Avenue,Mountain View,94040,School Website 2014/CA_DEPT_EDU,43695916048003,,37.395101670000003,-122.09380329,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369591,43695916049514,Mountain View Whisman,Elementary School District,Mtn. View Whisman,0626280
POINT (-121.871883198217 37.34993279817),398,San Jose High,Public School,275 N. 24th Street,San Jose,95116,School Website 2014/CA_DEPT_EDU,43696664337200,,37.34992785,-121.87187011,10/07/2014 12:00:00 AM +0000,ISD_GIS,Public School  :  Unified School District,Both,,4369666,43696666121073,San Jose Unified,Unified School District,San Jose Unified,0634590
POINT (-121.81433311711 37.341474182403),341,Ocala Middle,Public School,2800 Ocala Avenue,San Jose,95148,School Website 2014/CA_DEPT_EDU,43693696089270,,37.341469230000001,-121.81432004,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369369,43693696089270,Alum Rock Union Elementary,Elementary School District,Alum Rock Union Elem.,0602310
POINT (-121.905707339648 37.458089119129),249,Joseph Weller Elementary,Public School,345 Boulder Drive,Milpitas,95035,School Website 2014/CA_DEPT_EDU,43733876047633,,37.458084159999999,-121.90569424,09/22/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4373387,43733876067219,Milpitas Unified,Unified School District,Milpitas Unified,0624500
POINT (-121.849964680811 37.402861810986),65,Piedmont Hills High,Public School,1377 Piedmont Road,San Jose,95132,School Website 2014/CA_DEPT_EDU,43694274335907,,37.40285686,-121.84995159,08/26/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  High School District,Both,,4369427,43694274337903,East Side Union High,High School District,East Side Union High,0611820
POINT (-121.851783096746 37.351147352187),262,Learning in an Urban Community with High Achievement (L.U.C.H.A.),Public School,1711 East San Antonio St,San Jose,95116,School Website 2014/CA_DEPT_EDU,43693690107748,,37.351142400000001,-121.85177002,09/29/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369369,43693696089270,Alum Rock Union Elementary,Elementary School District,Alum Rock Union Elem.,0602310
POINT (-122.058328343388 37.339513470354),144,Cupertino Middle,Public School,1650 South Bernardo Avenue,Sunnyvale,94087,School Website 2014/CA_DEPT_EDU,43694196046767,,37.339508539999997,-122.05831523000001,09/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369419,43694196067185,Cupertino Union,Elementary School District,Cupertino Union,0610290
POINT (-121.805299146766 37.272028414609),435,Stipe (Samuel) Elementary,Public School,5000 Lyng Drive,San Jose,95111,School Website 2014/CA_DEPT_EDU,43696256048177,,37.272023470000001,-121.80528608,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369625,43696256117014,Oak Grove Elementary,Elementary School District,Oak Grove Elem.,0627810
POINT (-121.851931769369 37.350840832963),263,San Antonio Elementary,Public School,1721 East San Antonio Street,San Jose,95116,School Website 2014/CA_DEPT_EDU,43693696046304,,37.350835879999998,-121.85191869000001,09/29/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369369,43693696089270,Alum Rock Union Elementary,Elementary School District,Alum Rock Union Elem.,0602310
POINT (-121.967319627963 37.296837576695),205,George C. Payne Elementary,Public School,3750 Gleason Avenue,San Jose,95130,School Website 2014/CA_DEPT_EDU,43695756047799,,37.296832639999998,-121.96730653,09/11/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369575,43695756047831,Moreland Elementary,Elementary School District,Moreland Elem.,0625770
POINT (-121.56185847959 37.006421096415),173,Eliot Elementary,Public School,475 Old Gilroy Street,Gilroy,95020,School Website 2014/CA_DEPT_EDU,43694846047302,,37.006416160000001,-121.56184548,09/10/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369484,43694846116461,Gilroy Unified,Unified School District,Gilroy Unified,0615180
POINT (-121.785454233022 37.32419708775),366,Quimby Oak Middle,Public School,3190 Quimby Road,San Jose,95148,School Website 2014/CA_DEPT_EDU,43694356047179,,37.324192140000001,-121.78544116,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369435,43694356117956,Evergreen Elementary,Elementary School District,Evergreen Elem.,0613140
POINT (-121.840250985584 37.321304799481),242,Success Academy,Public School,1240 Taper Lane,San Jose,95122,School Website 2014/CA_DEPT_EDU,43694500111849,,37.321299850000003,-121.84023791,09/22/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369450,43694506115943,Franklin-McKinley Elementary,Elementary School District,Franklin-McKinley Elem.,0614370
POINT (-121.812475190643 37.345247829563),16,Adelante Dual Language Academy,Public School,2999 Ridgemont Drive,San Jose,95127,School Website 2014/CA_DEPT_EDU,43693690108167,,37.345242880000001,-121.81246212000001,08/14/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369369,43693696089270,Alum Rock Union Elementary,Elementary School District,Alum Rock Union Elem.,0602310
POINT (-122.00480979085 37.300520967418),292,Lynbrook High,Public School,1280 Johnson Avenue,San Jose,95129,School Website 2014/CA_DEPT_EDU,43694684334421,,37.300516029999997,-122.00479669000001,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  High School District,Both,,4369468,43694684334462,Fremont Union High,High School District,Fremont Union High,0614430
POINT (-121.90266064366 37.453651091653),301,Marshall Pomeroy Elementary,Public School,1505 Escuela Parkway,Milpitas,95035,School Website 2014/CA_DEPT_EDU,43733876047641,,37.453646139999996,-121.90264754,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4373387,43733876067219,Milpitas Unified,Unified School District,Milpitas Unified,0624500
POINT (-121.60120307658 37.037151704304),121,Christopher High,Public School,850 Day Road,Gilroy,95020,School Website 2014/CA_DEPT_EDU,43694840118380,,37.037146759999999,-121.60119007,09/05/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369484,43694846116461,Gilroy Unified,Unified School District,Gilroy Unified,0615180
POINT (-121.844838993314 37.393087482369),358,Piedmont Middle,Public School,955 Piedmont Road,San Jose,95132,School Website 2014/CA_DEPT_EDU,43693776046395,,37.393082530000001,-121.84482591,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369377,43693776111348,Berryessa Union Elementary,Elementary School District,Berryessa Union Elem.,0604800
POINT (-121.759421625256 37.280117706341),429,Silver Oak Elementary,Public School,5000 Farnsworth Drive,San Jose,95138,School Website 2014/CA_DEPT_EDU,43694356111942,,37.280112760000002,-121.75940857000001,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369435,43694356117956,Evergreen Elementary,Elementary School District,Evergreen Elem.,0613140
POINT (-121.923834491003 37.331888811128),229,Herbert Hoover Middle,Public School,1635 Park Avenue,San Jose,95126,School Website 2014/CA_DEPT_EDU,43696666062111,,37.331883869999999,-121.92382139999999,09/15/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369666,43696666121073,San Jose Unified,Unified School District,San Jose Unified,0634590
POINT (-121.838304980646 37.330419943817),338,O. S. Hubbard Elementary,Public School,1745 June Avenue,San Jose,95122,School Website 2014/CA_DEPT_EDU,43693696046270,,37.330414990000001,-121.8382919,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369369,43693696089270,Alum Rock Union Elementary,Elementary School District,Alum Rock Union Elem.,0602310
POINT (-121.933410697339 37.316079085828),479,"McKinnon (Joseph H.) (TMR, Aut)",Public School,2390 Moorpark Avenue,San Jose,95128,School Website 2014/CA_DEPT_EDU,43104396049555,,37.316074149999999,-121.93339761,10/09/2015 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.935774470437 37.312470334285),393,Della Maggiore Center,Public School,2300 Clove Drive,San Jose,,School Website 2014/CA_DEPT_EDU,43104396102958,,37.31246539,-121.93576138,10/07/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Current,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.822174133969 37.327180137965),251,Katherine R. Smith Elementary,Public School,2025 Clarice Drive,San Jose,95122,School Website 2014/CA_DEPT_EDU,43694356047153,,37.327175189999998,-121.82216106,09/22/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369435,43694356117956,Evergreen Elementary,Elementary School District,Evergreen Elem.,0613140
POINT (-121.883347491915 37.436063741123),131,Connexions Academy,Public School,1331 East Calaveras Boulevard,Milpitas,95035,School Website 2014/CA_DEPT_EDU,43733870128587,,37.436058789999997,-121.8833344,09/05/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4373387,43733876067219,Milpitas Unified,Unified School District,Milpitas Unified,0624500
POINT (-122.036352516992 37.347629573538),118,Chester W. Nimitz Elementary,Public School,545 East Cheyenne Drive,Sunnyvale,94087,School Website 2014/CA_DEPT_EDU,43694196046742,,37.347624639999999,-122.03633941,09/04/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369419,43694196067185,Cupertino Union,Elementary School District,Cupertino Union,0610290
POINT (-122.008622494761 37.349129835091),298,Marian A. Peterson Middle,Public School,1380 Rosalia Avenue,Sunnyvale,94087,School Website 2014/CA_DEPT_EDU,43696746101760,,37.3491249,-122.00860939,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369674,43696746048805,Santa Clara Unified,Unified School District,Santa Clara Unified,0635430
POINT (-121.847417821597 37.402186189786),64,Berryessa Union Elementary,Public School,1376 Piedmont Road,San Jose,95132,School Website 2014/CA_DEPT_EDU,43693776111348,,37.402181239999997,-121.84740474,08/26/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369377,43693776111348,Berryessa Union Elementary,Elementary School District,Berryessa Union Elem.,0604800
